"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","O78H9_China","O78H9_HPVN24_VN","O78H9_IMT2125_UK","O78_US"
"rhsA_3","","RhsA protein in rhs element","3","3","1","1","1592","118","1","","1208","3842","2499","O78H9China_02736","","O78H9IMT2125UK_03911","O78US_04578"
"group_609","","hypothetical protein","3","3","1","1","4718","1","323","","809","809","809","O78H9China_01120","O78H9HPVN24_00309","","O78US_01006"
"group_620","","hypothetical protein","3","3","1","1","4082","79","1","","95","95","95","O78H9China_01159","O78H9HPVN24_04317","O78H9IMT2125UK_04410",""
"yjbE","","putative protein","3","3","1","1","4158","91","1","","242","242","242","O78H9China_01169","","O78H9IMT2125UK_04400","O78US_00213"
"leuO","","LeuO DNA-binding transcriptional dual activator","3","3","1","1","3939","63","1","","944","944","944","O78H9China_01329","","O78H9IMT2125UK_00086","O78US_00809"
"group_623","","hypothetical protein","3","3","1","1","4291","97","1","","89","89","89","O78H9China_01393","","O78H9IMT2125UK_00023","O78US_00746"
"group_625","","hypothetical protein","3","3","1","1","3732","53","1","","326","326","326","O78H9China_01729","","O78H9IMT2125UK_01658","O78US_02456"
"intQ","","Qin prophage; predicted defective integrase","3","3","1","1","3731","1","37","","1280","1280","1280","O78H9China_01733","O78H9HPVN24_01644","","O78US_02452"
"group_627","","hypothetical protein","3","3","1","1","3730","1","41","","236","236","236","O78H9China_01734","O78H9HPVN24_01643","","O78US_02451"
"ompX_2","","hypothetical protein","3","3","1","1","2840","1","131","","497","599","531","O78H9China_05007","O78H9HPVN24_04774","","O78US_01579"
"group_647","","hypothetical protein","3","3","1","1","3697","1","365","","494","494","494","O78H9China_01764","O78H9HPVN24_04992","O78H9IMT2125UK_02850",""
"group_648","","hypothetical protein","3","3","1","1","3696","1","211","","2102","2102","2102","O78H9China_01765","O78H9HPVN24_04991","O78H9IMT2125UK_02849",""
"tdk","","thymidine kinase / deoxyuridine kinase","3","3","1","1","733","96","1","","617","617","617","O78H9China_02166","","O78H9IMT2125UK_01350","O78US_02110"
"lepB","","leader peptidase (signal peptidase I)","3","3","1","1","2691","21","2","","974","974","974","O78H9China_02198","","O78H9IMT2125UK_02722","O78US_03480"
"rnc","","RNase III","3","3","1","1","2690","21","1","","680","680","680","O78H9China_02200","","O78H9IMT2125UK_02720","O78US_03478"
"pdxJ","","pyridoxine 5'-phosphate synthase","3","3","1","1","2687","95","1","","731","731","731","O78H9China_02203","","O78H9IMT2125UK_02717","O78US_03475"
"group_657","","hypothetical protein","3","3","1","1","1692","84","1","","173","173","173","O78H9China_02537","","O78H9IMT2125UK_03803","O78US_04464"
"group_658","","hypothetical protein","3","3","1","1","1680","49","1","","278","278","278","O78H9China_02551","O78H9HPVN24_03742","","O78US_04478"
"group_661","","hypothetical protein","3","3","1","1","1590","45","1","","938","938","938","O78H9China_02734","O78H9HPVN24_03835","","O78US_04580"
"ybcF","","putative carbamate kinase","3","3","1","1","5011","92","1","","893","893","893","O78H9China_02885","","O78H9IMT2125UK_00540","O78US_01277"
"rrrQ_1","","Qin prophage; predicted lysozyme","3","3","1","1","4561","8","3","","533","533","533","O78H9China_02912","","O78H9IMT2125UK_01702","O78US_01304"
"group_664","","hypothetical protein","3","3","1","1","4563","8","1","","344","344","344","O78H9China_02914","","O78H9IMT2125UK_01700","O78US_01306"
"csrD","","regulator of CsrB and CsrC decay","3","3","1","1","1525","78","1","","1940","1940","1940","O78H9China_02944","","O78H9IMT2125UK_03559","O78US_04216"
"deaD","","DeaD, DEAD-box RNA helicase","3","3","1","1","2014","104","1","","1889","1889","1889","O78H9China_03033","","O78H9IMT2125UK_03470","O78US_04127"
"ygeM","","putative protein","3","3","1","1","2375","70","1","","431","431","431","O78H9China_03271","O78H9HPVN24_03015","","O78US_03768"
"yqgD","","hypothetical protein","3","3","1","1","2272","66","1","","251","251","251","O78H9China_03379","O78H9HPVN24_03123","","O78US_03876"
"crl","","Crl transcriptional regulator","3","3","1","1","4781","58","1","","401","401","401","O78H9China_03604","O78H9HPVN24_00287","O78H9IMT2125UK_00257",""
"yqcG","","small protein involved in the cell envelope stress response","3","3","1","1","2460","46","1","","140","140","140","O78H9China_03705","O78H9HPVN24_02930","","O78US_03677"
"mltA","","membrane-bound lytic murein transglycosylase A","3","3","1","1","2424","100","1","","1097","1097","1097","O78H9China_03744","","O78H9IMT2125UK_03054","O78US_03716"
"tatD","","Tat-linked protein quality control","3","3","1","1","5121","48","1","","782","782","782","O78H9China_03999","","O78H9IMT2125UK_04169","O78US_04839"
"group_698","","hypothetical protein","3","3","1","1","5140","65","1","","467","467","467","O78H9China_04019","","O78H9IMT2125UK_04149","O78US_04819"
"group_699","","hypothetical protein","3","3","1","1","5156","72","1","","1205","1211","1207","O78H9China_04035","O78H9HPVN24_04057","","O78US_04803"
"rffH","","dTDP-glucose pyrophosphorylase 2","3","3","1","1","5168","56","1","","881","881","881","O78H9China_04051","","O78H9IMT2125UK_04118","O78US_04787"
"group_701","","hypothetical protein","3","3","1","1","5180","55","1","","449","449","449","O78H9China_04064","O78H9HPVN24_04028","","O78US_04774"
"group_702","yedW_9","putative DNA-binding response regulator in two-component system with YedV","3","3","1","1","6","52","1","","698","698","698","O78H9China_04104","O78H9HPVN24_04174","","O78US_00068"
"frvR","","FrvR predicted transcriptional regulator","3","3","1","1","80","80","1","","1748","1748","1748","O78H9China_04120","","O78H9IMT2125UK_04239","O78US_00052"
"htpX","","heat shock protein, integral membrane protein","3","3","1","1","3006","38","1","","350","881","704","","O78H9HPVN24_01900","O78H9IMT2125UK_01934","O78US_02705"
"group_786","","hypothetical protein","3","3","1","1","4435","75","1","","395","395","395","O78H9China_04295","O78H9HPVN24_04676","","O78US_00566"
"group_787","","hypothetical protein","3","3","1","1","4468","42","1","","164","164","164","O78H9China_04326","","O78H9IMT2125UK_04772","O78US_00597"
"ydcM_1","","putative transposase","3","3","1","1","3294","71","1","","1265","1265","1265","O78H9China_01999","","O78H9IMT2125UK_01522","O78US_02278"
"ydcM_2","","putative transposase","3","3","1","1","3107","83","1","","572","1103","926","O78H9China_00109","","O78H9IMT2125UK_02044","O78US_02811"
"rhsC_2","","RhsC protein in rhs element","3","3","1","1","3152","2","5","","755","1346","1149","O78H9China_00161","","O78H9IMT2125UK_02097","O78US_02863"
"group_83","rhsD_1","RhsD protein in rhs element","3","3","1","1","3153","2","4","","1184","2846","2256","O78H9China_00162","","O78H9IMT2125UK_02100","O78US_02864"
"yneK_1","","putative protein","3","3","1","1","3742","102","1","","458","458","458","O78H9China_04587","O78H9HPVN24_01596","","O78US_02383"
"frwD","","PTS system fructose-like IIB component 2","3","3","1","1","9","47","1","","341","341","341","O78H9China_04677","","O78H9IMT2125UK_04311","O78US_00115"
"group_872","","hypothetical protein","3","3","1","1","24","108","1","","608","608","608","O78H9China_04692","","O78H9IMT2125UK_04296","O78US_00100"
"group_873","","hypothetical protein","3","3","1","1","27","87","1","","323","323","323","O78H9China_04695","O78H9HPVN24_04202","","O78US_00097"
"gspL","","putative protein secretion protein for export","3","3","1","1","1857","51","1","","1163","1163","1163","O78H9China_04703","","O78H9IMT2125UK_03636","O78US_04299"
"yrdD","","putative DNA topoisomerase","3","3","1","1","1908","107","1","","542","542","542","O78H9China_04754","","O78H9IMT2125UK_03585","O78US_04248"
"preT","","NADH-dependent dihydropyrimidine dehydrogenase subunit","3","3","1","1","3593","39","2","","830","1238","1102","O78H9China_00377","O78H9HPVN24_02263","","O78US_03034"
"group_906","","hypothetical protein","3","3","1","1","4125","44","1","","128","128","128","O78H9China_04837","O78H9HPVN24_04270","","O78US_00173"
"group_1003","","hypothetical protein","2","2","1","1","201","1","490","","242","242","242","O78H9China_05004","O78H9HPVN24_04923","",""
"ykfF_1","","CP4-6 prophage; predicted protein","2","2","1","1","1296","1","85","","233","233","233","O78H9China_05077","O78H9HPVN24_04845","",""
"noc_3","","Nucleoid occlusion protein","2","2","1","1","1294","1","84","","542","542","542","O78H9China_05078","O78H9HPVN24_04844","",""
"flmC","","Protein FlmC","2","2","1","1","5045","1","182","","215","215","215","O78H9China_05083","O78H9HPVN24_04817","",""
"group_1028","","hypothetical protein","2","2","1","1","1292","1","392","","518","518","518","O78H9China_05084","O78H9HPVN24_04847","",""
"traA","","Pilin","2","2","1","1","1291","1","393","","365","365","365","O78H9China_05092","O78H9HPVN24_04848","",""
"group_1034","","hypothetical protein","2","2","1","1","1290","1","395","","311","311","311","O78H9China_05093","O78H9HPVN24_04849","",""
"yahD_2","","putative transcriptional regulator with ankyrin domain protein","2","2","1","1","147","1","425","","605","605","605","O78H9China_05096","O78H9HPVN24_04858","",""
"group_1041","","hypothetical protein","2","2","1","1","1276","1","83","","881","881","881","O78H9China_05103","O78H9HPVN24_04843","",""
"group_1088","","hypothetical protein","2","2","1","1","5047","1","184","","215","215","215","O78H9China_05156","O78H9HPVN24_04815","",""
"eno_2","","degradosome","2","2","1","1","5046","1","185","","434","434","434","O78H9China_05157","O78H9HPVN24_04816","",""
"group_1131","","hypothetical protein","2","2","1","1","5083","1","75","","290","290","290","O78H9China_05216","O78H9HPVN24_04866","",""
"insL-3","","putative IS186/IS421 transposase","2","2","1","1","4296","26","1","","1112","1112","1112","O78H9China_05240","","O78H9IMT2125UK_00017",""
"ybfB","","putative inner membrane protein","2","2","1","1","5085","1","72","","326","326","326","O78H9China_05244","O78H9HPVN24_04868","",""
"ymfK","","e14 prophage; predicted repressor protein","2","2","1","1","4514","1","335","","674","674","674","","O78H9HPVN24_00297","","O78US_00641"
"group_1160","","hypothetical protein","2","2","1","1","4517","1","352","","836","836","836","","O78H9HPVN24_00300","O78H9IMT2125UK_02861",""
"group_119","alsK_2","D-allose kinase","2","2","1","1","1472","27","3","","269","929","599","","O78H9HPVN24_04414","O78H9IMT2125UK_04469",""
"group_121","","hypothetical protein","2","2","1","1","4241","221","1","","548","548","548","","O78H9HPVN24_04362","","O78US_00680"
"group_1219","","hypothetical protein","2","2","1","1","2871","200","21","","233","233","233","","O78H9HPVN24_02329","O78H9IMT2125UK_02337",""
"group_123","","hypothetical protein","2","2","1","1","4232","6","2","","560","560","560","O78H9China_01101","","","O78US_00672"
"group_124","","hypothetical protein","2","2","1","1","4544","6","4","","410","410","410","O78H9China_01103","","","O78US_00670"
"group_126","","hypothetical protein","2","2","1","1","4579","1","358","","449","653","551","O78H9China_01123","","O78H9IMT2125UK_02857",""
"group_127","","hypothetical protein","2","2","1","1","3653","200","14","","380","380","380","","","O78H9IMT2125UK_02330","O78US_03094"
"group_128","yfdN_2","CPS-53 (KpLE1) prophage; predicted protein","2","2","1","1","4714","1","236","","488","494","491","O78H9China_01124","","","O78US_01002"
"socA","","Antitoxin SocA","2","2","1","1","4081","1","307","","473","473","473","","O78H9HPVN24_04334","","O78US_00239"
"group_1302","","hypothetical protein","2","2","1","1","4080","1","308","","548","548","548","","O78H9HPVN24_04335","","O78US_00240"
"group_1308","","hypothetical protein","2","2","1","1","4225","1","265","","323","323","323","","O78H9HPVN24_04350","O78H9IMT2125UK_00287",""
"group_1309","","hypothetical protein","2","2","1","1","4227","1","267","","506","506","506","","O78H9HPVN24_04352","O78H9IMT2125UK_00289",""
"ycfK","","e14 prophage; predicted protein","2","2","1","1","4247","241","1","","650","650","650","","O78H9HPVN24_04366","","O78US_00684"
"caiT_2","","L-carnitine : gamma-butyrobetaine antiporter","2","2","1","1","4261","88","1","","1019","1019","1019","O78H9China_01369","O78H9HPVN24_00080","",""
"intD_1","","DLP12 prophage; predicted integrase","2","2","1","1","4743","1","214","","1163","1163","1163","","","O78H9IMT2125UK_00262","O78US_00989"
"group_1396","","hypothetical protein","2","2","1","1","4738","1","218","","434","434","434","","","O78H9IMT2125UK_00264","O78US_00995"
"group_1399","","hypothetical protein","2","2","1","1","4729","1","252","","797","797","797","","","O78H9IMT2125UK_00271","O78US_01315"
"group_1406","","hypothetical protein","2","2","1","1","4250","1","257","","497","497","497","","","O78H9IMT2125UK_00306","O78US_01045"
"group_1407","","hypothetical protein","2","2","1","1","4251","1","256","","2753","2753","2753","","","O78H9IMT2125UK_00307","O78US_01046"
"group_1410","xerC_1","Tyrosine recombinase XerC","2","2","1","1","706","110","59","","995","995","995","","","O78H9IMT2125UK_00975","O78US_01741"
"group_1411","","hypothetical protein","2","2","1","1","704","110","60","","356","356","356","","","O78H9IMT2125UK_00976","O78US_01743"
"group_1412","","hypothetical protein","2","2","1","1","703","110","58","","500","500","500","","","O78H9IMT2125UK_00977","O78US_01745"
"group_1418","","hypothetical protein","2","2","1","1","696","110","52","","1034","1034","1034","","","O78H9IMT2125UK_00983","O78US_01756"
"group_1419","","hypothetical protein","2","2","1","1","695","110","51","","1772","1772","1772","","","O78H9IMT2125UK_00984","O78US_01757"
"group_1420","","hypothetical protein","2","2","1","1","694","110","50","","854","854","854","","","O78H9IMT2125UK_00985","O78US_01758"
"group_1421","","hypothetical protein","2","2","1","1","693","110","49","","1073","1073","1073","","","O78H9IMT2125UK_00986","O78US_01759"
"group_1422","","hypothetical protein","2","2","1","1","692","110","48","","743","743","743","","","O78H9IMT2125UK_00987","O78US_01760"
"group_1428","","hypothetical protein","2","2","1","1","684","110","41","","158","158","158","","","O78H9IMT2125UK_00994","O78US_01763"
"group_1429","","hypothetical protein","2","2","1","1","682","110","39","","452","452","452","","","O78H9IMT2125UK_00996","O78US_01765"
"gpFI","","Putative prophage major tail sheath protein","2","2","1","1","721","110","26","","1190","1190","1190","","","O78H9IMT2125UK_01007","O78US_01775"
"group_1438","","hypothetical protein","2","2","1","1","722","110","25","","518","518","518","","","O78H9IMT2125UK_01008","O78US_01776"
"group_1439","","hypothetical protein","2","2","1","1","723","110","24","","275","275","275","","","O78H9IMT2125UK_01009","O78US_01777"
"ogrK_2","","DNA-binding transcriptional regulator, prophage P2 remnant","2","2","1","1","726","110","21","","218","218","218","","","O78H9IMT2125UK_01012","O78US_01781"
"yddJ","","hypothetical protein","2","2","1","1","3361","196","1","","335","335","335","","","O78H9IMT2125UK_01565","O78US_02318"
"ybcQ_2","","DLP12 prophage; predicted antitermination protein","2","2","1","1","4727","1","250","","377","377","377","","","O78H9IMT2125UK_01693","O78US_01313"
"group_149","sufD_2","SufD component of SufBCD Fe-S cluster scaffold complex","2","2","1","1","4608","29","2","","515","1271","893","","","O78H9IMT2125UK_01788","O78US_02561"
"ybfL_1","","putative transposase; receptor protein","2","2","1","1","4762","109","1","","1043","1043","1043","O78H9China_03582","","","O78US_00962"
"group_193","ybaK","Cys-tRNAPro and Cys-tRNACys deacylase","2","2","1","1","4974","24","2","","314","479","396","","","O78H9IMT2125UK_00502","O78US_01240"
"group_2","","hypothetical protein","2","2","1","1","351","209","2","","467","1433","950","O78H9China_04406","","","O78US_01473"
"group_207","","hypothetical protein","2","2","1","1","641","116","1","","371","371","371","","","O78H9IMT2125UK_00790","O78US_01553"
"group_208","","hypothetical protein","2","2","1","1","4864","1","399","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","464","464","464","","","O78H9IMT2125UK_00388","O78US_01127"
"group_23","","hypothetical protein","2","2","1","1","731","120","2","","1211","1247","1229","O78H9China_04560","","O78H9IMT2125UK_01268",""
"ydeP_1","","acid resistance protein","2","2","1","1","3325","33","2","","1943","2279","2111","","","O78H9IMT2125UK_01603","O78US_02354"
"cadC_2","","CadC DNA-binding transcriptional activator","2","2","1","1","1437","135","1","","506","506","506","","","O78H9IMT2125UK_04524","O78US_00351"
"tufB","","elongation factor Tu","2","2","1","1","4101","198","1","","260","1184","722","","","O78H9IMT2125UK_04338","O78US_00146"
"group_262","","Multidrug efflux ATP-binding/permease protein","2","2","1","1","185","1","381","","1382","3659","2520","O78H9China_04931","O78H9HPVN24_04831","",""
